Country,Skill,Year,Rank,tier
Australia,Algorithm Design,2014,,Processing
Australia,Business Intelligence,2014,6,Presenting
Australia,Data Engineering and Data Warehousing,2014,15,Collecting
Australia,Database Management and Software,2014,24,Collecting
Australia,Perl/Python/Ruby,2014,8,Processing
Australia,Statistical Analysis and Data Mining,2014,1,Processing
Australia,Storage Systems and Management,2014,4,Collecting
Australia,User Interface Design,2014,18,Presenting
Australia,Web Architecture and Development Framework,2014,14,Presenting
Brazil,Business Intelligence,2014,8,Presenting
Brazil,Data Engineering and Data Warehousing,2014,10,Collecting
Brazil,Database Management and Software,2014,25,Collecting
Brazil,Perl/Python/Ruby,2014,15,Processing
Brazil,Statistical Analysis and Data Mining,2014,1,Processing
Brazil,Storage Systems and Management,2014,5,Collecting
Brazil,User Interface Design,2014,16,Presenting
Brazil,Web Architecture and Development Framework,2014,3,Presenting
Canada,Algorithm Design,2014,18,Processing
Canada,Business Intelligence,2014,8,Presenting
Canada,Data Engineering and Data Warehousing,2014,17,Collecting
Canada,Data Presentation,2014,14,Presenting
Canada,Perl/Python/Ruby,2014,10,Processing
Canada,Statistical Analysis and Data Mining,2014,1,Processing
Canada,Storage Systems and Management,2014,2,Collecting
Canada,User Interface Design,2014,20,Presenting
Canada,Web Architecture and Development Framework,2014,15,Presenting
China,Business Intelligence,2014,,Presenting
China,Cloud and Distributed Computing,2014,,Presenting
China,Data Engineering and Data Warehousing,2014,,Collecting
China,Database Management and Software,2014,,Collecting
China,Statistical Analysis and Data Mining,2014,,Processing
China,Storage Systems and Management,2014,,Collecting
China,User Interface Design,2014,,Presenting
China,Web Architecture and Development Framework,2014,,Presenting
France,Algorithm Design,2014,19,Processing
France,Business Intelligence,2014,7,Presenting
France,Cloud and Distributed Computing,2014,2,Presenting
France,Data Engineering and Data Warehousing,2014,,Collecting
France,Data Presentation,2014,,Presenting
France,Database Management and Software,2014,,Collecting
France,Financial Analysis and Modeling,2014,11,Processing
France,Perl/Python/Ruby,2014,21,Processing
France,Statistical Analysis and Data Mining,2014,1,Processing
France,User Interface Design,2014,,Presenting
France,Web Architecture and Development Framework,2014,,Presenting
Germany,Business Intelligence,2014,,Presenting
Germany,Cloud and Distributed Computing,2014,,Presenting
Germany,Data Engineering and Data Warehousing,2014,,Collecting
Germany,Data Presentation,2014,,Presenting
Germany,Database Management and Software,2014,,Collecting
Germany,Perl/Python/Ruby,2014,,Processing
Germany,Statistical Analysis and Data Mining,2014,,Processing
Germany,User Interface Design,2014,,Presenting
Germany,Web Architecture and Development Framework,2014,,Presenting
Global,Algorithm Design,2014,9,Processing
Global,Business Intelligence,2014,6,Presenting
Global,Cloud and Distributed Computing,2014,,Presenting
Global,Data Engineering and Data Warehousing,2014,11,Collecting
Global,Data Presentation,2014,,Presenting
Global,Database Management and Software,2014,,Collecting
Global,Perl/Python/Ruby,2014,10,Processing
Global,Statistical Analysis and Data Mining,2014,1,Processing
Global,Storage Systems and Management,2014,3,Collecting
Global,User Interface Design,2014,14,Presenting
Global,Web Architecture and Development Framework,2014,8,Presenting
India,Algorithm Design,2014,7,Processing
India,Business Intelligence,2014,18,Presenting
India,Cloud and Distributed Computing,2014,3,Presenting
India,Data Engineering and Data Warehousing,2014,19,Collecting
India,Data Presentation,2014,12,Presenting
India,Perl/Python/Ruby,2014,8,Processing
India,Statistical Analysis and Data Mining,2014,1,Processing
India,Storage Systems and Management,2014,2,Collecting
India,User Interface Design,2014,11,Presenting
India,Web Architecture and Development Framework,2014,9,Presenting
Ireland,Algorithm Design,2014,,Processing
Ireland,Business Intelligence,2014,,Presenting
Ireland,Cloud and Distributed Computing,2014,,Presenting
